iteration,target_revision,start_wall_epoch,start_wall_utc,start_wall_local,end_wall_epoch,end_wall_utc,end_wall_local,deploy_started_epoch,deploy_started_utc,deploy_started_local,deploy_finished_epoch,deploy_finished_utc,deploy_finished_local,repo_sync_s,manifest_apply_s,resource_creation_s,deployment_total_s,rollout_total_s,pod_rollout_s,status,note
57,v0.15.2,1760792678.141,2025-10-18T13:04:38.140Z,2025-10-18T13:04:38.140+00:00,1760792700.666,2025-10-18T13:05:00.666Z,2025-10-18T13:05:00.666+00:00,1760792678.000,2025-10-18T13:04:38.000Z,2025-10-18T13:04:38.000+00:00,1760792682.000,2025-10-18T13:04:42.000Z,2025-10-18T13:04:42.000+00:00,6.324,0.130,16.107,4.000,22.526,18.526,ok,
58,v0.15.1,1760792702.106,2025-10-18T13:05:02.106Z,2025-10-18T13:05:02.106+00:00,1760792724.011,2025-10-18T13:05:24.010Z,2025-10-18T13:05:24.010+00:00,1760792702.000,2025-10-18T13:05:02.000Z,2025-10-18T13:05:02.000+00:00,1760792705.000,2025-10-18T13:05:05.000Z,2025-10-18T13:05:05.000+00:00,6.240,0.075,15.561,3.000,21.905,18.905,ok,
59,v0.15.2,1760792725.433,2025-10-18T13:05:25.432Z,2025-10-18T13:05:25.432+00:00,1760792746.278,2025-10-18T13:05:46.277Z,2025-10-18T13:05:46.277+00:00,1760792725.000,2025-10-18T13:05:25.000Z,2025-10-18T13:05:25.000+00:00,1760792728.000,2025-10-18T13:05:28.000Z,2025-10-18T13:05:28.000+00:00,5.612,0.130,15.384,3.000,20.845,17.845,ok,
60,v0.15.1,1760792747.536,2025-10-18T13:05:47.536Z,2025-10-18T13:05:47.536+00:00,1760792770.608,2025-10-18T13:06:10.608Z,2025-10-18T13:06:10.608+00:00,1760792747.000,2025-10-18T13:05:47.000Z,2025-10-18T13:05:47.000+00:00,1760792752.000,2025-10-18T13:05:52.000Z,2025-10-18T13:05:52.000+00:00,7.025,0.094,16.378,5.000,23.072,18.072,ok,
61,v0.15.2,1760792771.967,2025-10-18T13:06:11.967Z,2025-10-18T13:06:11.967+00:00,1760792792.918,2025-10-18T13:06:32.918Z,2025-10-18T13:06:32.918+00:00,1760792772.000,2025-10-18T13:06:12.000Z,2025-10-18T13:06:12.000+00:00,1760792774.000,2025-10-18T13:06:14.000Z,2025-10-18T13:06:14.000+00:00,4.407,0.147,16.232,2.000,20.951,18.951,ok,
62,v0.15.1,1760792794.257,2025-10-18T13:06:34.256Z,2025-10-18T13:06:34.256+00:00,1760792817.030,2025-10-18T13:06:57.030Z,2025-10-18T13:06:57.030+00:00,1760792794.000,2025-10-18T13:06:34.000Z,2025-10-18T13:06:34.000+00:00,1760792798.000,2025-10-18T13:06:38.000Z,2025-10-18T13:06:38.000+00:00,7.134,0.126,15.586,4.000,22.774,18.774,ok,
63,v0.15.2,1760792818.434,2025-10-18T13:06:58.434Z,2025-10-18T13:06:58.434+00:00,1760792840.207,2025-10-18T13:07:20.206Z,2025-10-18T13:07:20.206+00:00,1760792818.000,2025-10-18T13:06:58.000Z,2025-10-18T13:06:58.000+00:00,1760792821.000,2025-10-18T13:07:01.000Z,2025-10-18T13:07:01.000+00:00,5.263,0.188,16.556,3.000,21.773,18.773,ok,
64,v0.15.1,1760792841.614,2025-10-18T13:07:21.613Z,2025-10-18T13:07:21.613+00:00,1760792863.164,2025-10-18T13:07:43.163Z,2025-10-18T13:07:43.163+00:00,1760792841.000,2025-10-18T13:07:21.000Z,2025-10-18T13:07:21.000+00:00,1760792844.000,2025-10-18T13:07:24.000Z,2025-10-18T13:07:24.000+00:00,5.307,0.110,16.616,3.000,21.550,18.550,ok,
65,v0.15.2,1760792864.544,2025-10-18T13:07:44.543Z,2025-10-18T13:07:44.543+00:00,1760792885.693,2025-10-18T13:08:05.693Z,2025-10-18T13:08:05.693+00:00,1760792864.000,2025-10-18T13:07:44.000Z,2025-10-18T13:07:44.000+00:00,1760792867.000,2025-10-18T13:07:47.000Z,2025-10-18T13:07:47.000+00:00,4.812,0.123,16.652,3.000,21.150,18.150,ok,
66,v0.15.1,1760792887.043,2025-10-18T13:08:07.042Z,2025-10-18T13:08:07.042+00:00,1760792908.881,2025-10-18T13:08:28.880Z,2025-10-18T13:08:28.880+00:00,1760792887.000,2025-10-18T13:08:07.000Z,2025-10-18T13:08:07.000+00:00,1760792890.000,2025-10-18T13:08:10.000Z,2025-10-18T13:08:10.000+00:00,4.711,0.133,16.860,3.000,21.838,18.838,ok,
67,v0.15.2,1760792910.264,2025-10-18T13:08:30.263Z,2025-10-18T13:08:30.263+00:00,1760792930.629,2025-10-18T13:08:50.629Z,2025-10-18T13:08:50.629+00:00,1760792910.000,2025-10-18T13:08:30.000Z,2025-10-18T13:08:30.000+00:00,1760792913.000,2025-10-18T13:08:33.000Z,2025-10-18T13:08:33.000+00:00,5.550,0.119,14.825,3.000,20.365,17.365,ok,
68,v0.15.1,1760792932.194,2025-10-18T13:08:52.193Z,2025-10-18T13:08:52.193+00:00,1760792954.001,2025-10-18T13:09:14.000Z,2025-10-18T13:09:14.000+00:00,1760792932.000,2025-10-18T13:08:52.000Z,2025-10-18T13:08:52.000+00:00,1760792934.000,2025-10-18T13:08:54.000Z,2025-10-18T13:08:54.000+00:00,4.654,0.163,17.006,2.000,21.807,19.807,ok,
69,v0.15.2,1760792955.409,2025-10-18T13:09:15.409Z,2025-10-18T13:09:15.409+00:00,1760792977.848,2025-10-18T13:09:37.847Z,2025-10-18T13:09:37.847+00:00,1760792955.000,2025-10-18T13:09:15.000Z,2025-10-18T13:09:15.000+00:00,1760792958.000,2025-10-18T13:09:18.000Z,2025-10-18T13:09:18.000+00:00,5.864,0.170,16.648,3.000,22.439,19.439,ok,
70,v0.15.1,1760792979.168,2025-10-18T13:09:39.168Z,2025-10-18T13:09:39.168+00:00,1760793000.733,2025-10-18T13:10:00.733Z,2025-10-18T13:10:00.733+00:00,1760792979.000,2025-10-18T13:09:39.000Z,2025-10-18T13:09:39.000+00:00,1760792982.000,2025-10-18T13:09:42.000Z,2025-10-18T13:09:42.000+00:00,5.024,0.159,16.417,3.000,21.565,18.565,ok,
71,v0.15.2,1760793002.072,2025-10-18T13:10:02.071Z,2025-10-18T13:10:02.071+00:00,1760793023.962,2025-10-18T13:10:23.961Z,2025-10-18T13:10:23.961+00:00,1760793002.000,2025-10-18T13:10:02.000Z,2025-10-18T13:10:02.000+00:00,1760793005.000,2025-10-18T13:10:05.000Z,2025-10-18T13:10:05.000+00:00,6.705,0.108,15.051,3.000,21.890,18.890,ok,
72,v0.15.1,1760793025.481,2025-10-18T13:10:25.481Z,2025-10-18T13:10:25.481+00:00,1760793047.097,2025-10-18T13:10:47.097Z,2025-10-18T13:10:47.097+00:00,1760793025.000,2025-10-18T13:10:25.000Z,2025-10-18T13:10:25.000+00:00,1760793028.000,2025-10-18T13:10:28.000Z,2025-10-18T13:10:28.000+00:00,5.417,0.134,16.454,3.000,21.616,18.616,ok,
73,v0.15.2,1760793048.434,2025-10-18T13:10:48.434Z,2025-10-18T13:10:48.434+00:00,1760793069.917,2025-10-18T13:11:09.917Z,2025-10-18T13:11:09.917+00:00,1760793048.000,2025-10-18T13:10:48.000Z,2025-10-18T13:10:48.000+00:00,1760793052.000,2025-10-18T13:10:52.000Z,2025-10-18T13:10:52.000+00:00,6.419,0.139,15.245,4.000,21.483,17.483,ok,
74,v0.15.1,1760793071.205,2025-10-18T13:11:11.204Z,2025-10-18T13:11:11.204+00:00,1760793092.439,2025-10-18T13:11:32.439Z,2025-10-18T13:11:32.439+00:00,1760793071.000,2025-10-18T13:11:11.000Z,2025-10-18T13:11:11.000+00:00,1760793074.000,2025-10-18T13:11:14.000Z,2025-10-18T13:11:14.000+00:00,5.423,0.101,15.713,3.000,21.235,18.235,ok,
75,v0.15.2,1760793093.717,2025-10-18T13:11:33.716Z,2025-10-18T13:11:33.716+00:00,1760793118.812,2025-10-18T13:11:58.812Z,2025-10-18T13:11:58.812+00:00,1760793093.000,2025-10-18T13:11:33.000Z,2025-10-18T13:11:33.000+00:00,1760793100.000,2025-10-18T13:11:40.000Z,2025-10-18T13:11:40.000+00:00,10.852,0.143,14.642,7.000,25.095,18.095,ok,
76,v0.15.1,1760793120.229,2025-10-18T13:12:00.228Z,2025-10-18T13:12:00.228+00:00,1760793140.500,2025-10-18T13:12:20.499Z,2025-10-18T13:12:20.499+00:00,1760793120.000,2025-10-18T13:12:00.000Z,2025-10-18T13:12:00.000+00:00,1760793123.000,2025-10-18T13:12:03.000Z,2025-10-18T13:12:03.000+00:00,5.069,0.113,15.189,3.000,20.271,17.271,ok,
77,v0.15.2,1760793141.816,2025-10-18T13:12:21.816Z,2025-10-18T13:12:21.816+00:00,1760793164.305,2025-10-18T13:12:44.305Z,2025-10-18T13:12:44.305+00:00,1760793141.000,2025-10-18T13:12:21.000Z,2025-10-18T13:12:21.000+00:00,1760793145.000,2025-10-18T13:12:25.000Z,2025-10-18T13:12:25.000+00:00,6.062,0.118,17.031,4.000,22.489,18.489,ok,
78,v0.15.1,1760793165.741,2025-10-18T13:12:45.741Z,2025-10-18T13:12:45.741+00:00,1760793186.171,2025-10-18T13:13:06.171Z,2025-10-18T13:13:06.171+00:00,1760793165.000,2025-10-18T13:12:45.000Z,2025-10-18T13:12:45.000+00:00,1760793168.000,2025-10-18T13:12:48.000Z,2025-10-18T13:12:48.000+00:00,5.904,0.113,14.786,3.000,20.430,17.430,ok,
79,v0.15.2,1760793187.551,2025-10-18T13:13:07.551Z,2025-10-18T13:13:07.551+00:00,1760793210.173,2025-10-18T13:13:30.172Z,2025-10-18T13:13:30.172+00:00,1760793187.000,2025-10-18T13:13:07.000Z,2025-10-18T13:13:07.000+00:00,1760793191.000,2025-10-18T13:13:11.000Z,2025-10-18T13:13:11.000+00:00,5.889,0.092,16.992,4.000,22.622,18.622,ok,
80,v0.15.1,1760793211.523,2025-10-18T13:13:31.522Z,2025-10-18T13:13:31.522+00:00,1760793233.431,2025-10-18T13:13:53.431Z,2025-10-18T13:13:53.431+00:00,1760793211.000,2025-10-18T13:13:31.000Z,2025-10-18T13:13:31.000+00:00,1760793214.000,2025-10-18T13:13:34.000Z,2025-10-18T13:13:34.000+00:00,5.446,0.149,16.720,3.000,21.909,18.909,ok,
81,v0.15.2,1760793234.708,2025-10-18T13:13:54.708Z,2025-10-18T13:13:54.708+00:00,1760793256.187,2025-10-18T13:14:16.186Z,2025-10-18T13:14:16.186+00:00,1760793234.000,2025-10-18T13:13:54.000Z,2025-10-18T13:13:54.000+00:00,1760793238.000,2025-10-18T13:13:58.000Z,2025-10-18T13:13:58.000+00:00,6.564,0.180,15.298,4.000,21.478,17.478,ok,
82,v0.15.1,1760793257.654,2025-10-18T13:14:17.653Z,2025-10-18T13:14:17.653+00:00,1760793279.203,2025-10-18T13:14:39.202Z,2025-10-18T13:14:39.202+00:00,1760793257.000,2025-10-18T13:14:17.000Z,2025-10-18T13:14:17.000+00:00,1760793261.000,2025-10-18T13:14:21.000Z,2025-10-18T13:14:21.000+00:00,6.941,0.094,15.070,4.000,21.549,17.549,ok,
83,v0.15.2,1760793280.476,2025-10-18T13:14:40.475Z,2025-10-18T13:14:40.475+00:00,1760793302.640,2025-10-18T13:15:02.639Z,2025-10-18T13:15:02.639+00:00,1760793280.000,2025-10-18T13:14:40.000Z,2025-10-18T13:14:40.000+00:00,1760793285.000,2025-10-18T13:14:45.000Z,2025-10-18T13:14:45.000+00:00,8.656,0.111,13.731,5.000,22.164,17.164,ok,
84,v0.15.1,1760793303.997,2025-10-18T13:15:03.997Z,2025-10-18T13:15:03.997+00:00,1760793326.729,2025-10-18T13:15:26.729Z,2025-10-18T13:15:26.729+00:00,1760793304.000,2025-10-18T13:15:04.000Z,2025-10-18T13:15:04.000+00:00,1760793308.000,2025-10-18T13:15:08.000Z,2025-10-18T13:15:08.000+00:00,6.242,0.141,16.206,4.000,22.732,18.732,ok,
85,v0.15.2,1760793328.179,2025-10-18T13:15:28.178Z,2025-10-18T13:15:28.178+00:00,1760793349.705,2025-10-18T13:15:49.705Z,2025-10-18T13:15:49.705+00:00,1760793328.000,2025-10-18T13:15:28.000Z,2025-10-18T13:15:28.000+00:00,1760793330.000,2025-10-18T13:15:30.000Z,2025-10-18T13:15:30.000+00:00,4.642,0.224,16.707,2.000,21.527,19.527,ok,
86,v0.15.1,1760793351.051,2025-10-18T13:15:51.050Z,2025-10-18T13:15:51.050+00:00,1760793372.471,2025-10-18T13:16:12.470Z,2025-10-18T13:16:12.470+00:00,1760793351.000,2025-10-18T13:15:51.000Z,2025-10-18T13:15:51.000+00:00,1760793354.000,2025-10-18T13:15:54.000Z,2025-10-18T13:15:54.000+00:00,4.621,0.114,16.610,3.000,21.420,18.420,ok,
87,v0.15.2,1760793373.773,2025-10-18T13:16:13.773Z,2025-10-18T13:16:13.773+00:00,1760793395.500,2025-10-18T13:16:35.499Z,2025-10-18T13:16:35.499+00:00,1760793373.000,2025-10-18T13:16:13.000Z,2025-10-18T13:16:13.000+00:00,1760793376.000,2025-10-18T13:16:16.000Z,2025-10-18T13:16:16.000+00:00,5.410,0.116,16.781,3.000,21.726,18.726,ok,
88,v0.15.1,1760793396.966,2025-10-18T13:16:36.965Z,2025-10-18T13:16:36.965+00:00,1760793417.079,2025-10-18T13:16:57.079Z,2025-10-18T13:16:57.079+00:00,1760793397.000,2025-10-18T13:16:37.000Z,2025-10-18T13:16:37.000+00:00,1760793400.000,2025-10-18T13:16:40.000Z,2025-10-18T13:16:40.000+00:00,5.064,0.107,14.743,3.000,20.113,17.113,ok,
89,v0.15.2,1760793418.419,2025-10-18T13:16:58.419Z,2025-10-18T13:16:58.419+00:00,1760793440.555,2025-10-18T13:17:20.554Z,2025-10-18T13:17:20.554+00:00,1760793418.000,2025-10-18T13:16:58.000Z,2025-10-18T13:16:58.000+00:00,1760793422.000,2025-10-18T13:17:02.000Z,2025-10-18T13:17:02.000+00:00,5.439,0.169,16.803,4.000,22.136,18.136,ok,
90,v0.15.1,1760793441.843,2025-10-18T13:17:21.842Z,2025-10-18T13:17:21.842+00:00,1760793463.651,2025-10-18T13:17:43.651Z,2025-10-18T13:17:43.651+00:00,1760793442.000,2025-10-18T13:17:22.000Z,2025-10-18T13:17:22.000+00:00,1760793445.000,2025-10-18T13:17:25.000Z,2025-10-18T13:17:25.000+00:00,4.991,0.157,16.386,3.000,21.809,18.809,ok,
91,v0.15.2,1760793465.033,2025-10-18T13:17:45.033Z,2025-10-18T13:17:45.033+00:00,1760793486.733,2025-10-18T13:18:06.733Z,2025-10-18T13:18:06.733+00:00,1760793465.000,2025-10-18T13:17:45.000Z,2025-10-18T13:17:45.000+00:00,1760793468.000,2025-10-18T13:17:48.000Z,2025-10-18T13:17:48.000+00:00,4.648,0.091,16.909,3.000,21.700,18.700,ok,
92,v0.15.1,1760793488.133,2025-10-18T13:18:08.133Z,2025-10-18T13:18:08.133+00:00,1760793509.900,2025-10-18T13:18:29.900Z,2025-10-18T13:18:29.900+00:00,1760793488.000,2025-10-18T13:18:08.000Z,2025-10-18T13:18:08.000+00:00,1760793490.000,2025-10-18T13:18:10.000Z,2025-10-18T13:18:10.000+00:00,4.974,0.207,16.639,2.000,21.767,19.767,ok,
93,v0.15.2,1760793511.237,2025-10-18T13:18:31.236Z,2025-10-18T13:18:31.236+00:00,1760793532.342,2025-10-18T13:18:52.342Z,2025-10-18T13:18:52.342+00:00,1760793511.000,2025-10-18T13:18:31.000Z,2025-10-18T13:18:31.000+00:00,1760793514.000,2025-10-18T13:18:34.000Z,2025-10-18T13:18:34.000+00:00,5.903,0.159,15.159,3.000,21.105,18.105,ok,
94,v0.15.1,1760793533.592,2025-10-18T13:18:53.592Z,2025-10-18T13:18:53.592+00:00,1760793554.181,2025-10-18T13:19:14.180Z,2025-10-18T13:19:14.180+00:00,1760793533.000,2025-10-18T13:18:53.000Z,2025-10-18T13:18:53.000+00:00,1760793536.000,2025-10-18T13:18:56.000Z,2025-10-18T13:18:56.000+00:00,5.371,0.164,15.543,3.000,20.589,17.589,ok,
95,v0.15.2,1760793555.531,2025-10-18T13:19:15.530Z,2025-10-18T13:19:15.530+00:00,1760793576.213,2025-10-18T13:19:36.213Z,2025-10-18T13:19:36.213+00:00,1760793555.000,2025-10-18T13:19:15.000Z,2025-10-18T13:19:15.000+00:00,1760793558.000,2025-10-18T13:19:18.000Z,2025-10-18T13:19:18.000+00:00,5.898,0.160,15.064,3.000,20.683,17.683,ok,
96,v0.15.1,1760793577.508,2025-10-18T13:19:37.508Z,2025-10-18T13:19:37.508+00:00,1760793599.578,2025-10-18T13:19:59.578Z,2025-10-18T13:19:59.578+00:00,1760793577.000,2025-10-18T13:19:37.000Z,2025-10-18T13:19:37.000+00:00,1760793581.000,2025-10-18T13:19:41.000Z,2025-10-18T13:19:41.000+00:00,5.740,0.142,16.550,4.000,22.070,18.070,ok,
97,v0.15.2,1760793600.912,2025-10-18T13:20:00.912Z,2025-10-18T13:20:00.912+00:00,1760793622.137,2025-10-18T13:20:22.136Z,2025-10-18T13:20:22.136+00:00,1760793601.000,2025-10-18T13:20:01.000Z,2025-10-18T13:20:01.000+00:00,1760793603.000,2025-10-18T13:20:03.000Z,2025-10-18T13:20:03.000+00:00,4.333,0.109,16.510,2.000,21.224,19.224,ok,
98,v0.15.1,1760793623.343,2025-10-18T13:20:23.343Z,2025-10-18T13:20:23.343+00:00,1760793644.732,2025-10-18T13:20:44.731Z,2025-10-18T13:20:44.731+00:00,1760793623.000,2025-10-18T13:20:23.000Z,2025-10-18T13:20:23.000+00:00,1760793626.000,2025-10-18T13:20:26.000Z,2025-10-18T13:20:26.000+00:00,5.091,0.106,16.390,3.000,21.389,18.389,ok,
99,v0.15.2,1760793646.188,2025-10-18T13:20:46.188Z,2025-10-18T13:20:46.188+00:00,1760793667.271,2025-10-18T13:21:07.271Z,2025-10-18T13:21:07.271+00:00,1760793646.000,2025-10-18T13:20:46.000Z,2025-10-18T13:20:46.000+00:00,1760793649.000,2025-10-18T13:20:49.000Z,2025-10-18T13:20:49.000+00:00,5.915,0.131,15.012,3.000,21.083,18.083,ok,
100,v0.15.1,1760793668.553,2025-10-18T13:21:08.552Z,2025-10-18T13:21:08.552+00:00,1760793690.117,2025-10-18T13:21:30.117Z,2025-10-18T13:21:30.117+00:00,1760793668.000,2025-10-18T13:21:08.000Z,2025-10-18T13:21:08.000+00:00,1760793672.000,2025-10-18T13:21:12.000Z,2025-10-18T13:21:12.000+00:00,6.097,0.156,15.754,4.000,21.564,17.564,ok,
101,v0.15.2,1760793691.496,2025-10-18T13:21:31.496Z,2025-10-18T13:21:31.496+00:00,1760793713.044,2025-10-18T13:21:53.044Z,2025-10-18T13:21:53.044+00:00,1760793691.000,2025-10-18T13:21:31.000Z,2025-10-18T13:21:31.000+00:00,1760793694.000,2025-10-18T13:21:34.000Z,2025-10-18T13:21:34.000+00:00,5.976,0.195,15.710,3.000,21.548,18.548,ok,
102,v0.15.1,1760793714.378,2025-10-18T13:21:54.378Z,2025-10-18T13:21:54.378+00:00,1760793735.305,2025-10-18T13:22:15.305Z,2025-10-18T13:22:15.305+00:00,1760793714.000,2025-10-18T13:21:54.000Z,2025-10-18T13:21:54.000+00:00,1760793717.000,2025-10-18T13:21:57.000Z,2025-10-18T13:21:57.000+00:00,5.383,0.128,15.682,3.000,20.927,17.927,ok,
103,v0.15.2,1760793736.888,2025-10-18T13:22:16.888Z,2025-10-18T13:22:16.888+00:00,1760793757.508,2025-10-18T13:22:37.508Z,2025-10-18T13:22:37.508+00:00,1760793737.000,2025-10-18T13:22:17.000Z,2025-10-18T13:22:17.000+00:00,1760793740.000,2025-10-18T13:22:20.000Z,2025-10-18T13:22:20.000+00:00,5.370,0.123,14.938,3.000,20.620,17.620,ok,
104,v0.15.1,1760793758.925,2025-10-18T13:22:38.924Z,2025-10-18T13:22:38.924+00:00,1760793779.033,2025-10-18T13:22:59.032Z,2025-10-18T13:22:59.032+00:00,1760793759.000,2025-10-18T13:22:39.000Z,2025-10-18T13:22:39.000+00:00,1760793762.000,2025-10-18T13:22:42.000Z,2025-10-18T13:22:42.000+00:00,4.830,0.177,14.932,3.000,20.108,17.108,ok,
105,v0.15.2,1760793780.314,2025-10-18T13:23:00.313Z,2025-10-18T13:23:00.313+00:00,1760793800.768,2025-10-18T13:23:20.768Z,2025-10-18T13:23:20.768+00:00,1760793780.000,2025-10-18T13:23:00.000Z,2025-10-18T13:23:00.000+00:00,1760793783.000,2025-10-18T13:23:03.000Z,2025-10-18T13:23:03.000+00:00,4.722,0.152,15.765,3.000,20.454,17.454,ok,
106,v0.15.1,1760793801.987,2025-10-18T13:23:21.987Z,2025-10-18T13:23:21.987+00:00,1760793823.256,2025-10-18T13:23:43.256Z,2025-10-18T13:23:43.256+00:00,1760793802.000,2025-10-18T13:23:22.000Z,2025-10-18T13:23:22.000+00:00,1760793805.000,2025-10-18T13:23:25.000Z,2025-10-18T13:23:25.000+00:00,4.984,0.088,16.065,3.000,21.269,18.269,ok,
107,v0.15.2,1760793824.562,2025-10-18T13:23:44.561Z,2025-10-18T13:23:44.561+00:00,1760793846.297,2025-10-18T13:24:06.296Z,2025-10-18T13:24:06.296+00:00,1760793824.000,2025-10-18T13:23:44.000Z,2025-10-18T13:23:44.000+00:00,1760793827.000,2025-10-18T13:23:47.000Z,2025-10-18T13:23:47.000+00:00,5.542,0.171,16.435,3.000,21.735,18.735,ok,
108,v0.15.1,1760793847.634,2025-10-18T13:24:07.633Z,2025-10-18T13:24:07.633+00:00,1760793869.853,2025-10-18T13:24:29.852Z,2025-10-18T13:24:29.852+00:00,1760793847.000,2025-10-18T13:24:07.000Z,2025-10-18T13:24:07.000+00:00,1760793850.000,2025-10-18T13:24:10.000Z,2025-10-18T13:24:10.000+00:00,5.366,0.105,17.200,3.000,22.219,19.219,ok,
109,v0.15.2,1760793871.219,2025-10-18T13:24:31.219Z,2025-10-18T13:24:31.219+00:00,1760793892.319,2025-10-18T13:24:52.319Z,2025-10-18T13:24:52.319+00:00,1760793871.000,2025-10-18T13:24:31.000Z,2025-10-18T13:24:31.000+00:00,1760793873.000,2025-10-18T13:24:33.000Z,2025-10-18T13:24:33.000+00:00,4.687,0.149,16.398,2.000,21.100,19.100,ok,
110,v0.15.1,1760793893.748,2025-10-18T13:24:53.747Z,2025-10-18T13:24:53.747+00:00,1760793914.987,2025-10-18T13:25:14.987Z,2025-10-18T13:25:14.987+00:00,1760793893.000,2025-10-18T13:24:53.000Z,2025-10-18T13:24:53.000+00:00,1760793896.000,2025-10-18T13:24:56.000Z,2025-10-18T13:24:56.000+00:00,5.386,0.124,16.344,3.000,21.239,18.239,ok,
111,v0.15.2,1760793916.354,2025-10-18T13:25:16.353Z,2025-10-18T13:25:16.353+00:00,1760793938.514,2025-10-18T13:25:38.514Z,2025-10-18T13:25:38.514+00:00,1760793916.000,2025-10-18T13:25:16.000Z,2025-10-18T13:25:16.000+00:00,1760793919.000,2025-10-18T13:25:19.000Z,2025-10-18T13:25:19.000+00:00,5.438,0.174,16.715,3.000,22.160,19.160,ok,
112,v0.15.1,1760793939.872,2025-10-18T13:25:39.871Z,2025-10-18T13:25:39.871+00:00,1760793961.927,2025-10-18T13:26:01.927Z,2025-10-18T13:26:01.927+00:00,1760793940.000,2025-10-18T13:25:40.000Z,2025-10-18T13:25:40.000+00:00,1760793943.000,2025-10-18T13:25:43.000Z,2025-10-18T13:25:43.000+00:00,4.919,0.146,16.677,3.000,22.056,19.056,ok,
113,v0.15.2,1760793963.315,2025-10-18T13:26:03.315Z,2025-10-18T13:26:03.315+00:00,1760793985.328,2025-10-18T13:26:25.328Z,2025-10-18T13:26:25.328+00:00,1760793963.000,2025-10-18T13:26:03.000Z,2025-10-18T13:26:03.000+00:00,1760793967.000,2025-10-18T13:26:07.000Z,2025-10-18T13:26:07.000+00:00,7.194,0.146,14.834,4.000,22.013,18.013,ok,
